STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sector,Sector,cofog99,Classification of the functions of government (COFOG 1999),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,CY,Cyprus,2020,,10278.3,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,CY,Cyprus,2021,,10970.4,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,CY,Cyprus,2022,,11190.7,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,CY,Cyprus,2023,,13183.5,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,CZ,Czechia,2014,,67266.7,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,CZ,Czechia,2015,,71104.8,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,CZ,Czechia,2016,,70537.7,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,CZ,Czechia,2017,,75680.2,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,CZ,Czechia,2018,,85648.5,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,CZ,Czechia,2019,,92617.2,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,CZ,Czechia,2020,,101899.6,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,CZ,Czechia,2021,,110765.7,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,CZ,Czechia,2022,,123368.3,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,CZ,Czechia,2023,,139412.0,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DE,Germany,2014,,1328332.0,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DE,Germany,2015,,1373293.0,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DE,Germany,2016,,1429256.0,,,,,
